Designator,Mid X,Mid Y,Rotation,Layer
BAR1,71.5342,-90.6326,180.0,top
C1,64.8242,-7.9826,0.0,top
C10,71.8742,-32.0826,270.0,top
C11,9.3,-41.7826,0.0,top
C12,27.2934,-44.0016,0.0,top
C13,42.8128,-52.1696,90.0,top
C14,98.4558,-55.6814,270.0,top
C15,67.9842,-51.226,270.0,top
C16,98.6442,-73.3426,0.0,top
C17,39.1806,-83.1684,0.0,top
C18,4.7742,-83.0826,180.0,top
C19,18.3526,-83.4224,0.0,top
C2,60.1742,-7.9826,180.0,top
C20,28.7666,-83.4224,0.0,top
C21,40.3942,-94.0826,270.0,top
C23,98.4142,-86.6826,270.0,top
C24,98.1042,-96.6626,0.0,top
C3,91.1742,-3.3826,90.0,top
C4,50.9742,-6.0826,0.0,top
C5,14.5056,-20.4004,90.0,top
C6,69.3742,-5.8826,90.0,top
C7,35.9742,-10.6826,0.0,top
C8,97.7022,-30.692,270.0,top
C9,64.5742,-28.8826,180.0,top
D1,39.5042,-21.7826,180.0,top
D2,11.73,-4.7,180.0,top
D3,22.0742,-39.3534,90.0,top
D4,28.4742,-39.3534,90.0,top
D5,97.4742,-11.0526,270.0,top
J1,49.2842,-2.9826,90.0,top
J10,58.7042,-102.8726,270.0,top
J11,64.3266,-48.1164,180.0,top
J12,4.5742,-87.9526,0.0,top
J2,19.0442,-4.3826,0.0,top
J3,75.4442,-5.2526,270.0,top
J4,15.3056,-12.3004,0.0,top
J5,11.2742,-16.0926,180.0,top
J6,41.9842,-30.9576,90.0,top
J7,83.656,-53.679,270.0,top
J8,3.0742,-76.2226,0.0,top
J9,83.1988,-70.3668,270.0,top
R1,93.9742,-3.4076,270.0,top
R10,74.6742,-34.5626,270.0,top
R11,77.2742,-34.5626,270.0,top
R12,79.7742,-34.5626,270.0,top
R13,82.2742,-34.5626,270.0,top
R14,84.9006,-34.5626,270.0,top
R15,87.3742,-34.5626,270.0,top
R16,89.9806,-34.5626,270.0,top
R17,92.5206,-34.5626,270.0,top
R18,53.8742,-29.5826,180.0,top
R19,66.3586,-36.9404,270.0,top
R2,29.8942,-4.2826,180.0,top
R20,63.5646,-36.9404,270.0,top
R21,69.1526,-36.9404,270.0,top
R22,39.3076,-38.9216,270.0,top
R23,36.285,-38.9216,270.0,top
R24,33.2624,-38.917865,90.0,top
R25,98.4958,-45.6614,270.0,top
R26,98.4158,-65.5114,270.0,top
R27,80.462031,-79.415332,180.0,top
R28,3.1742,-64.1026,270.0,top
R29,80.482031,-82.355332,180.0,top
R3,29.8542,-7.3826,0.0,top
R30,80.482031,-85.255332,180.0,top
R31,80.482031,-88.055332,180.0,top
R32,80.521498,-90.890185,180.0,top
R33,80.524393,-93.746851,180.0,top
R34,80.524393,-96.616851,180.0,top
R35,80.534393,-99.476851,180.0,top
R37,4.6742,-14.0826,90.0,top
R38,80.534393,-102.366851,180.0,top
R39,11.7994,-36.5848,0.0,top
R40,11.8502,-33.5114,0.0,top
R41,96.9042,-15.7826,180.0,top
R42,42.3048,-38.9216,270.0,top
R5,40.9742,-12.0626,270.0,top
R6,20.2742,-23.8626,270.0,top
R8,34.5742,-18.3026,90.0,top
R9,53.8942,-32.5826,180.0,top
RN1,83.5036,-75.5484,180.0,top
SW1,85.3242,-5.8326,0.0,top
U1,68.3906,-18.6026,270.0,top
U10,32.8306,-94.0904,0.0,top
U11,52.2442,-95.3726,90.0,top
U12,89.3642,-91.0026,180.0,top
U2,27.3842,-20.0726,0.0,top
U3,53.1506,-61.0704,0.0,top
U4,83.529,-45.8812,270.0,top
U5,83.5798,-62.823,270.0,top
U6,13.7542,-63.6104,180.0,top
U7,32.4242,-63.6104,180.0,top
U8,12.0026,-94.065,0.0,top
U9,22.3912,-94.0904,0.0,top
Y1,61.4742,-3.6826,180.0,top
