Designator,Mid X,Mid Y,Rotation,Layer
BAR1,70.49,-88.47,180.0,top
C1,65.4,-6.6,90.0,top
C10,69.8,-30.35,270.0,top
C11,9.95,-32.9,0.0,top
C12,26.6,-33.75,180.0,top
C13,40.8128,-49.9196,90.0,top
C14,96.4558,-53.4314,270.0,top
C15,66.4,-54.75,270.0,top
C16,95.9,-68.9,270.0,top
C17,38.6,-80.9184,0.0,top
C18,7.8,-81.15,0.0,top
C19,16.8,-81.15,0.0,top
C2,49.9,-7.6,180.0,top
C20,26.7666,-81.1724,0.0,top
C21,44.1,-86.75,0.0,top
C23,96.0,-83.25,270.0,top
C24,95.95,-93.6,0.0,top
C3,88.55,-4.35,90.0,top
C4,36.8,-6.1,270.0,top
C5,12.5,-20.5,90.0,top
C6,68.0,-5.5,90.0,top
C7,34.25,-7.6,90.0,top
C8,95.7022,-28.442,270.0,top
C9,62.6,-27.6,180.0,top
D1,37.5042,-20.0,180.0,top
D2,10.6,-4.88,90.0,top
D3,22.35,-39.68,90.0,top
D4,28.7,-39.68,90.0,top
D5,95.45,-11.43,90.0,top
H1,3.6,-5.15,0.0,top
H2,96.55,-5.05,0.0,top
H3,3.5,-98.15,0.0,top
H4,96.5,-98.15,0.0,top
J1,44.96,-4.45,90.0,top
J10,55.74,-99.9,270.0,top
J11,62.3266,-45.8664,180.0,top
J12,5.0,-85.72,0.0,top
J13,63.15,-98.47,180.0,top
J2,17.27,-5.05,0.0,top
J3,73.56,-4.92,270.0,top
J4,12.95,-12.59,0.0,top
J5,9.35,-16.0,180.0,top
J6,39.9842,-28.7076,90.0,top
J7,81.656,-51.429,270.0,top
J9,81.1988,-68.1168,270.0,top
JP1,6.8,-72.75,270.0,bottom
R1,91.35,-4.82,270.0,top
R10,72.6536,-32.92,270.0,top
R11,75.2536,-32.92,270.0,top
R12,77.7536,-32.92,270.0,top
R13,80.2536,-32.92,270.0,top
R14,82.88,-32.92,270.0,top
R15,85.3536,-32.92,270.0,top
R16,87.96,-32.92,270.0,top
R17,90.5,-32.92,270.0,top
R18,51.87,-28.2,180.0,top
R19,64.35,-34.93,270.0,top
R2,26.67,-4.5,180.0,top
R20,61.5646,-34.93,270.0,top
R21,67.15,-34.93,270.0,top
R22,37.75,-36.6716,270.0,top
R23,34.9,-36.6716,270.0,top
R24,32.0,-29.92,90.0,top
R25,96.4958,-43.4114,270.0,top
R27,78.825,-99.8,0.0,top
R28,1.7,-88.85,90.0,top
R29,78.375,-77.0,180.0,top
R3,26.68,-7.35,0.0,top
R30,78.825,-79.6,0.0,top
R31,78.375,-82.1,180.0,top
R32,78.825,-84.7,0.0,top
R33,78.375,-87.2,180.0,top
R34,78.825,-89.7,0.0,top
R35,78.375,-92.1,180.0,top
R36,78.37,-97.3,180.0,top
R37,2.9,-15.08,270.0,top
R38,78.825,-94.8,0.0,top
R39,11.65,-38.05,0.0,top
R40,11.67,-40.95,0.0,top
R41,94.97,-15.8,0.0,top
R42,40.6,-36.6716,270.0,top
R5,37.43,-15.4,180.0,top
R6,18.7,-21.6126,270.0,top
R8,32.05,-17.52,90.0,top
R9,51.8942,-31.15,180.0,top
RN1,80.84,-72.75,180.0,top
SW1,82.75,-5.2,0.0,top
U1,66.37,-17.72,270.0,top
U10,32.31,-91.8404,0.0,top
U11,50.49,-93.1226,90.0,top
U12,87.3642,-88.67,180.0,top
U13,81.55,-60.51,270.0,top
U2,25.36,-19.49,0.0,top
U3,51.1506,-58.8204,0.0,top
U4,81.52,-44.36,270.0,top
U6,11.7542,-61.3604,180.0,top
U7,30.4242,-61.3604,180.0,top
U8,12.01,-91.815,0.0,top
U9,22.21,-91.8404,0.0,top
Y1,57.96,-5.0,180.0,top
